wavelength_um,global_tilt_um,direct_normal_um
0.763,379.52000000000004,352.16999999999996
0.764,538.7800000000001,498.85
0.765,686.01,633.77
0.766,814.6099999999999,750.8000000000001
0.767,974.17,895.74
0.768,1113.8,1022.2
0.769,1127.8,1034.7
0.77,1160.8,1064.6
0.771,1168.6000000000001,1071.6000000000001
0.772,1177.8,1080.2
0.773,1177.1000000000001,1079.7
0.774,1177.1000000000001,1080.0
0.775,1177.1000000000001,1080.1000000000001
0.776,1179.8,1082.7
0.777,1172.7,1076.4
0.778,1171.3,1075.3999999999999
0.779,1176.5,1080.3
0.78,1163.6,1068.7
0.781,1160.7,1066.2
0.782,1166.1999999999998,1071.3999999999999
0.783,1161.4,1067.1999999999998
0.784,1153.6,1060.2
0.785,1158.6000000000001,1064.8999999999999
0.786,1159.2,1065.6000000000001
0.787,1145.0,1053.0
0.788,1130.5,1039.9
0.789,1125.6999999999998,1035.9
0.79,1091.0,1004.5
0.791,1105.8,1017.9
0.792,1095.3,1008.4
0.793,1087.5,1001.5
0.794,1097.2,1010.1
0.795,1093.2,1006.5999999999999
0.796,1074.2,989.85
0.797,1091.3,1005.7
0.798,1112.1000000000001,1024.5
0.799,1090.5,1004.8
0.8,1072.5,988.5899999999999
0.801,1084.3,999.78
0.802,1085.6,1001.1000000000001
0.803,1065.7,982.88
0.804,1078.2,994.52
0.805,1054.5,972.7
0.806,1097.3999999999999,1012.2
0.807,1085.9,1001.8000000000001
0.808,1082.1000000000001,998.4399999999999
0.809,1054.8,973.53
0.81,1055.9,974.88
0.811,1053.3,972.73
0.812,1026.8,948.82
0.813,1008.5999999999999,932.36
0.814,903.5600000000001,836.8100000000001
0.815,895.23,829.27
0.816,832.16,771.71
0.817,851.8299999999999,789.84
0.818,822.59,762.9899999999999
0.819,905.19,838.4399999999999
0.82,861.88,798.99
0.821,997.64,922.92
0.822,951.57,880.81
0.823,672.71,625.76
0.824,935.06,866.19
0.825,969.35,897.52
0.826,933.8100000000001,865.3
0.827,984.65,911.7800000000001
0.828,849.7900000000001,788.6999999999999
0.829,929.3000000000001,861.3499999999999
0.83,916.01,849.3000000000001
0.831,923.92,856.66
0.832,894.2600000000001,829.61
0.833,956.5,886.22
0.834,934.12,866.0799999999999
0.835,1003.2,929.1700000000001
0.836,972.34,901.35
0.837,1009.2,934.9300000000001
0.838,999.01,925.8499999999999
0.839,1001.3000000000001,927.83
0.84,1015.7,941.24
0.841,1010.1,936.26
0.842,997.03,924.11
0.843,1005.3000000000001,931.71
0.844,986.3100000000001,914.34
0.845,1016.5,942.26
0.846,1018.6999999999999,944.47
0.847,991.7,919.47
0.848,992.17,920.1
0.849,985.9599999999999,914.47
0.85,893.7199999999999,829.0
0.851,974.93,904.54
0.852,969.27,899.42
0.853,964.86,895.4
0.854,851.12,790.0
0.855,913.0,847.46
0.856,973.17,903.43
0.857,991.66,920.59
0.858,991.9599999999999,920.9399999999999
0.859,991.71,920.8100000000001
0.86,988.1600000000001,917.64
0.861,986.79,916.48
0.862,994.49,923.67
0.863,1000.5,929.34
0.864,979.1600000000001,909.5600000000001
0.865,963.24,894.87
0.866,849.0,788.8199999999999
0.867,915.46,850.66
0.868,959.2,891.4
0.869,949.56,882.52
0.87,967.5500000000001,899.3299999999999
0.871,953.87,886.71
0.872,966.86,898.8699999999999
0.873,957.21,889.9899999999999
0.874,940.4200000000001,874.51
0.875,926.87,862.0400000000001
0.876,952.77,886.25
0.877,956.1500000000001,889.48
0.878,952.37,886.07
0.879,936.56,871.4399999999999
0.88,939.57,874.34
0.881,908.61,845.63
0.882,932.45,867.87
0.883,929.2700000000001,864.94
0.884,933.0500000000001,868.5899999999999
0.885,944.23,879.13
0.886,907.52,845.15
0.887,910.62,847.99
0.888,922.28,858.99
0.889,934.55,870.41
0.89,923.9300000000001,860.78
0.891,925.84,862.5500000000001
0.892,908.8100000000001,846.88
0.893,873.27,814.12
0.894,851.3,794.13
0.895,813.57,759.5600000000001
0.896,762.5300000000001,712.65
0.897,665.6600000000001,623.1
0.898,717.8,671.37
0.899,548.71,514.61
0.9,742.6,694.29
0.901,599.33,561.62
0.902,667.91,625.0
0.903,688.89,644.83
0.904,844.57,788.62
0.905,817.09,763.37
0.906,775.58,725.02
0.907,638.54,598.33
0.908,652.1700000000001,610.91
0.909,704.31,659.12
0.91,624.67,585.53
0.911,668.08,625.8000000000001
0.912,688.9300000000001,645.08
0.913,628.34,589.0600000000001
0.914,626.49,587.4
0.915,678.36,635.5
0.916,576.4599999999999,540.99
0.917,730.17,683.5
0.918,592.7099999999999,556.1199999999999
0.919,738.77,691.6099999999999
0.92,744.14,696.57
0.921,780.49,730.0400000000001
0.922,700.26,655.84
0.923,745.0400000000001,696.98
0.924,721.5,675.71
0.925,711.0999999999999,666.2099999999999
0.926,703.31,658.75
0.927,787.42,736.84
0.928,589.68,553.63
0.929,551.27,517.9200000000001
0.93,432.09999999999997,406.78999999999996
0.931,409.21000000000004,385.40000000000003
0.932,300.86,283.86
0.933,248.41,234.59
0.934,143.8,136.04
0.935,250.84,236.9
0.936,161.42000000000002,152.67
0.937,163.38,154.53
0.938,200.58,189.62
0.939,398.87,375.91
0.94,471.81,444.11
0.941,371.95,350.71000000000004
0.942,405.32,381.91999999999996
0.943,278.34,262.89
0.944,285.78999999999996,269.87
0.945,368.21,347.28999999999996
0.946,194.61,184.09
0.947,371.12,350.1
0.948,274.22999999999996,259.11
0.949,493.96000000000004,465.14
0.95,147.26,139.44
0.951,483.78,455.63
0.952,268.90999999999997,254.18
0.953,343.62,324.41999999999996
0.954,424.11,399.88
0.955,341.16999999999996,322.04
0.956,328.21,309.96000000000004
0.957,270.67,255.91000000000003
0.958,461.01,434.53000000000003
0.959,373.85,352.94
0.96,420.65999999999997,396.84999999999997
0.961,461.2,434.81
0.962,441.74,416.64
0.963,505.03,475.85
0.964,458.6,432.42
0.965,503.73999999999995,474.69
0.966,502.75000000000006,473.77000000000004
0.967,502.4,473.53000000000003
0.968,652.1,613.0100000000001
0.969,686.22,644.8000000000001
0.97,634.61,596.89
0.971,713.97,670.59
0.972,687.65,646.2900000000001
0.973,606.48,570.8100000000001
0.974,575.29,541.6999999999999
0.975,589.87,555.36
0.976,571.9100000000001,538.72
0.977,638.64,600.84
0.978,615.09,579.0300000000001
0.979,638.15,600.46
0.98,604.68,569.41
0.981,713.38,670.5799999999999
0.982,692.1800000000001,651.0200000000001
0.983,668.65,629.15
0.984,737.3199999999999,692.9
0.985,688.17,647.34
0.986,750.83,705.53
0.987,739.2800000000001,694.89
0.988,734.62,690.59
0.989,749.06,703.9100000000001
0.99,732.27,688.43
0.991,753.58,708.33
0.992,751.02,705.97
0.993,737.2800000000001,693.25
0.994,754.1,708.9100000000001
0.995,751.76,706.73
0.996,748.8399999999999,704.09
0.997,739.7099999999999,695.55
0.998,738.87,694.8100000000001
0.999,738.5699999999999,694.55
1.0,735.3199999999999,691.59
1.001,744.42,700.13
1.002,728.05,684.98
1.003,734.42,690.86
1.004,723.36,680.5600000000001
1.005,681.74,641.4
1.006,712.5200000000001,670.47
1.007,727.53,684.63
1.008,726.85,684.0699999999999
1.009,719.72,677.4200000000001
1.01,719.14,676.95
1.011,722.78,680.3399999999999
1.012,718.77,676.67
1.013,717.61,675.5600000000001
1.014,720.68,678.48
1.015,708.17,666.76
1.016,711.29,669.76
1.017,703.37,662.37
1.018,714.2199999999999,672.63
1.019,688.78,648.8000000000001
1.02,698.96,658.39
1.021,701.75,661.07
1.022,689.6999999999999,649.8000000000001
1.023,695.08,654.9000000000001
